project_name,date,edition,score,comment,category,year,month,scoreType
Казахстан Система Кадровое дело,2026-06-17 08:06:05,КЗ Кадровое дело Плюс,10,Отлично помогает в работе,Ценность/ROI,2026,6,promoter
Система Охрана труда,2025-01-05 13:51:16,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-05 14:09:28,БСС,8,Не всегда все понятно.,Общее недовольство,2025,1,neutral
Система Кадры,2025-01-05 16:24:43,КСС ВИП,10,; Всегда нахожу ответы на возникающие вопросы!,Другое,2025,1,promoter
Система Госфинансы,2025-01-05 17:28:49,Госфинансы ВИП ,10,Отлично,Общее удовлетворение,2025,1,promoter
Система Госфинансы,2025-01-05 17:51:07,Госфинансы ВИП ,10,"Очень удобная система ,по всем  вопросам",Платформа/Удобство,2025,1,promoter
Система Образование,2025-01-05 21:32:41,Образование ВИП,10,"Все всегда доступно. понятно, легко в использовании. Много информации.",Другое,2025,1,promoter
Система Главный врач,2025-01-06 05:27:32,Главврач Плюс ,10,"Все отлично, спасибо за программу!",Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-06 07:17:24,Охрана труда Плюс ,10,"Хорошо структурированный материал, возможность повышения квалификации.",Контент/Материалы,2025,1,promoter
Система Охрана труда,2025-01-06 08:19:19,Охрана труда ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-06 08:24:20,БСС,10,все отлично,Общее удовлетворение,2025,1,promoter
Система Управление МКД,2025-01-06 08:32:07,УМД ВИП,10,все актуальное  и вовремя,Актуальность,2025,1,promoter
Система Госфинансы,2025-01-06 09:20:58,Госфинансы Плюс ,10,Очень важная и нужная система. Рекомендую всем своим знакомым.,Другое,2025,1,promoter
Система Главбух,2025-01-06 11:10:43,БСС Плюс,10,"Отличная информационная программа для профессионалов, спасибо Вам за ваш труд",Общее удовлетворение,2025,1,promoter
Система Госфинансы,2025-01-06 11:13:46,Госфинансы Плюс ,10,отлично,Общее удовлетворение,2025,1,promoter
Система Консилиум,2025-01-06 11:21:32,Консилиум ВИП,9,оценка 9,Другое,2025,1,promoter
Узбекистан Система Кадры,2026-06-16 14:53:38,УЗ Кадры,10,удобно б и своевременно,Платформа/Удобство,2026,6,promoter
Система Образование,2025-01-06 12:15:41,Образование ВИП,10,спасибо,Другое,2025,1,promoter
Система Образование,2025-01-06 12:16:27,Образование Плюс,5,"есть другая площадка, где я прохожу обучение по моему профилю. Пока эта площадка меня не зацепила.",Обучение,2025,1,detractor
Система Управление МКД,2025-01-06 12:23:07,УМД для ТСЖ,10,"Все темы, рекомендации, журналы и др. вкладки для работы полезные и познавательные.",Другое,2025,1,promoter
Казахстан Система Главбух,2026-06-16 14:25:49,КЗ Главбух ВИП,10,"Удобно, вся важная информация, консультации, рекомендации с практическими примерами, изменения в законодательстве всегда под рукой.",Платформа/Удобство,2026,6,promoter
Система Госфинансы,2025-01-06 12:46:10,Госфинансы Плюс ,10,Актуальная информация от профессионалов!,Актуальность,2025,1,promoter
Система Охрана труда,2025-01-06 13:18:30,Охрана труда Плюс ,10,"Предполагаю, что использование «Системы Охрана труда» специалистами по ОТ в организациях во многом поспособствовала бы достичь того уровня профилактики производственного травматизма и профзаболеваний, о котором так часто говорят...",Другое,2025,1,promoter
Система Главбух,2025-01-06 13:35:14,БСС,10,отличная программа,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-06 13:45:47,БСС,8,"Не всегда находится ответ, на вопрос",Общее недовольство,2025,1,neutral
Узбекистан Система Главбух,2026-06-16 14:00:14,УЗ Главбух,10,Пользуюсь системой несколько лет.Нахожу ответы на все вопросы,Другое,2026,6,promoter
Система Кадры,2025-01-06 16:00:01,КСС ВИП,10,Всё очень понятно и доступно. Есть образцы и бланки для скачивания. Вся актуальная информация сразу подается. Спасибо большое.,Актуальность,2025,1,promoter
Система Главный врач,2025-01-06 16:20:17,Главврач ВИП ,10,система удобна и понятна,Платформа/Удобство,2025,1,promoter
Система Госфинансы,2025-01-06 17:03:37,Госфинансы ,10,.,Другое,2025,1,promoter
Система Завуч,2025-01-06 17:28:57,Завуч СуперВИП,10,отличное приложение,Платформа/Удобство,2025,1,promoter
Система Главбух,2025-01-06 18:14:12,БСС упр,10,"Удобная система поиска,оперативная информация по изменению законодательства,понятный интерфейс рабочего стола.экспертная поддержка.",Поддержка/Эксперты,2025,1,promoter
Система Главбух,2025-01-06 18:46:04,БСС ВИП,10,"Отличная правовая база, вся информация достоверна и своевременно",Контент/Материалы,2025,1,promoter
Система Завуч,2025-01-07 00:13:40,Завуч,10,Спасибо за ваш ТРУД!!!,Другое,2025,1,promoter
Система Образование,2025-01-07 02:07:35,Образование ВИП,10,10,Другое,2025,1,promoter
Узбекистан Система Главбух,2026-06-16 12:45:49,УЗ Главбух,10,"нормальная платформа  для  глав буха,все пд рукой  очень удобно,  очень отзывчивые  сотрудники  и цены  на годовое  обслуживание  недорого  меня устраивает",Платформа/Удобство,2026,6,promoter
Система Главная медсестра,2025-01-07 05:46:12,Главмедсестра Плюс ,10,10,Другое,2025,1,promoter
Система Культура,2025-01-07 07:03:31,Культура ВИП,5,5,Общее недовольство,2025,1,detractor
Система Главбух,2025-01-07 08:59:42,БСС упр,7,"Нахожу всё, что нужно, но один раз на вопрос эксперту получил ответ, смысл которого: ""Нам на такие вопросы отвечать не велено со ссылкой на нормативный документ, обратитесь в ... (другая организация)""",Поддержка,2025,1,neutral
Система Завуч,2025-01-07 11:23:33,Завуч СуперВИП,9,9,Другое,2025,1,promoter
Система Образование,2025-01-07 11:30:07,Образование ВИП,9,9,Другое,2025,1,promoter
Система Генеральный Директор,2025-01-07 12:12:10,ГенДир ВИП,10,Все собрано в одном месте.,Другое,2025,1,promoter
Система Госфинансы,2025-01-07 12:18:08,Госфинансы ,10,все нравится,Общее удовлетворение,2025,1,promoter
Система Образование,2025-01-07 13:42:27,Образование ВИП,9,"очень нужная система, публикует актуальную информацию, полезна для начинающих. Но желательно сделать акцию для новых регионов, так как бюджетных денег на это не выделяется",Актуальность,2025,1,promoter
Узбекистан Система Главбух,2026-06-16 11:23:58,УЗ Главбух Плюс,10,очень рекомендую,Другое,2026,6,promoter
Система Финансовый директор,2025-01-07 16:43:18,ФСС Плюс,2,"Покупала полный доступ, но по факту многие сервисы закрыты",Сервис,2025,1,detractor
Система Генеральный Директор,2025-01-07 18:18:04,ГенДир,6,Местами полезно,Общее недовольство,2025,1,detractor
Система Охрана труда,2025-01-07 20:05:01,Охрана труда Плюс ,10,удобно,Платформа/Удобство,2025,1,promoter
Система Главный врач,2025-01-07 20:17:04,Главврач ВИП ,10,можно много найти информации,Другое,2025,1,promoter
Система Главбух,2025-01-07 22:19:32,БСС упр,10,ВСЕ ХОРОШО,Общее удовлетворение,2025,1,promoter
Система Кадры,2025-01-08 02:00:54,КСС БУ,9,"В большинстве случаев нахожу ответы на интересующие меня вопросы, всегда актуальная информация.",Актуальность,2025,1,promoter
Система Госфинансы,2025-01-08 07:06:35,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Культура,2025-01-08 08:32:12,Культура ВИП,10,Очень полезно,Другое,2025,1,promoter
Система Госфинансы,2025-01-08 08:50:16,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-08 09:18:24,Завуч,10,Есть практически весь необходимый материал,Контент/Материалы,2025,1,promoter
Система Завуч,2025-01-08 09:20:04,Завуч СуперВИП,10,"Спасибо за Ваш труд, вы очень облегчаете нашу работу",Другое,2025,1,promoter
Система Охрана труда,2025-01-08 09:27:48,Охрана труда ВИП ,10,Отлично!!!!,Общее удовлетворение,2025,1,promoter
Система Методист детского сада,2025-01-08 09:40:28,Методист Плюс ,9,Спасибо за своевременное размещение нужных документов и других материалов,Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-08 09:43:09,БСС ВИП,10,Отлично,Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-08 09:55:04,Охрана труда ВИП ,10,"Ну очень нужная штука, экономит кучу времени.",Ценность/ROI,2025,1,promoter
Система Главбух,2025-01-08 09:55:42,БСС упр,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-08 10:21:10,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-08 10:36:42,Образование Плюс,10,/,Другое,2025,1,promoter
Система Охрана труда,2025-01-08 10:39:57,Охрана труда Плюс ,10,При огромном объеме обязанностей нет времени на научную работу. Здесь все под рукой.,Другое,2025,1,promoter
Система Главный врач,2025-01-08 10:54:53,Главврач ВИП ,5,Часто ответы экспертов не опираются на ФЗ и бывают расплывчатыми и неконкретными,Поддержка,2025,1,detractor
Система Главбух,2025-01-08 11:00:40,БСС упр,10,10,Другое,2025,1,promoter
Система Образование,2025-01-08 11:20:07,Образование ВИП,10,актуально  и  своевременно,Актуальность,2025,1,promoter
Система Главбух,2025-01-08 11:53:40,БСС ВИП,10,Много полезной информации,Другое,2025,1,promoter
Казахстан Система Главбух,2026-06-16 08:48:50,КЗ Главбух Плюс,10,"Улкен көмекші, рақмет!",Другое,2026,6,promoter
Система Завуч,2025-01-08 12:55:53,Завуч ВИП,10,"Уважаемые коллеги, МАОУ ""Донская реальная гимназия № 62"" г.Ростова-на-Дону поздравляет коллектив системы ""Завуч"" с Новым 2025 годом ! Мы благодарны за очередной год сотрудничества. Видим и ценим индивидуальный подход к нашим запросам. Качественная и своевременная подборка актуальной информации, документов, методических рекомендаций - незаменимый помощник в нашей работе.",Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-08 13:44:04,БСС,10,"своевременно, грамотно",Другое,2025,1,promoter
Система Образование,2025-01-08 13:46:13,Образование ВИП,10,"Спасибо, информация всегда актуальна, понятна и интересна.",Актуальность,2025,1,promoter
Система Завуч,2025-01-08 14:11:03,Завуч ВИП,10,Полезная информация. Использую в работе постоянно.,Другое,2025,1,promoter
Казахстан Система Главбух,2026-06-16 08:04:07,КЗ Главбух Плюс,10,"Мне очень помогает, во многих вопросах",Другое,2026,6,promoter
Система Образование,2025-01-08 14:46:26,Образование ВИП,8,"Хорошие шаблоны, но часто требуют существенной адаптации.",Контент,2025,1,neutral
Казахстан Система Кадровое дело,2026-06-16 07:19:58,КЗ Кадровое дело Плюс,10,всегда нахожу нужный ответ,Другое,2026,6,promoter
Система Методист детского сада,2025-01-08 16:43:42,Методист Плюс ,10,Пользуюсь уже не первый год. Очень довольна!,Другое,2025,1,promoter
Система Образование,2025-01-08 16:51:35,Образование ВИП,10,"В ""Системе Образования"" можно найти ответы, практически, на все вопросы.",Другое,2025,1,promoter
Система Завуч,2025-01-08 17:14:31,Завуч ВИП,10,"много нужного и полезного для работы, удобно использовать и находить всю информацию, которая необходима для работы!",Платформа/Удобство,2025,1,promoter
Система Завуч,2025-01-08 17:35:26,Завуч,8,.....,Общее недовольство,2025,1,neutral
Система Главбух,2025-01-08 17:53:18,БСС ВИП,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-08 21:39:48,Завуч Плюс,10,Спасибо Вам за качественный ресурс! Всех благ Системе Завуч!,Другое,2025,1,promoter
Система Образование,2025-01-08 23:10:24,Образование Плюс,10,Вы осуществляете грамотное сопровождение образовательного процесса. Спасибо!,Другое,2025,1,promoter
Система Главбух,2025-01-08 23:26:27,БСС ВИП,5,"Онлайн-консультанты отвечают только на общие стандартные вопросы. При менее распространенном вопросе в 80% запросов не могут дать ответ и перенаправляют к экспертам. Эксперты не владеют информацией об особенностях учета у резидентов ТОР. Консультации сводятся к цитированию законодательства, которое не понятно как трактовать. Трижды дали некорректный ответ.",Поддержка,2025,1,detractor
Система Главбух,2025-01-09 01:04:53,БСС упр,9,Хорошая подача материала. Но нет возможности смотреть семинары в записи. У нас с Вами большая разница во времени.,Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-09 02:34:06,БСС ВИП,10,полезные материалы,Контент/Материалы,2025,1,promoter
Система Завуч,2025-01-09 03:07:45,Завуч СуперВИП,10,"Информативно, полезно!",Другое,2025,1,promoter
Система Главбух,2025-01-09 03:11:23,БСС ВИП,10,!,Другое,2025,1,promoter
Система Образование,2025-01-09 03:20:13,Образование Плюс,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-09 03:27:29,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Культура,2025-01-09 03:31:41,Культура ВИП,10,Все отлично! Ваша помощь бесценна!Спасибо!,Поддержка/Эксперты,2025,1,promoter
Система Завуч,2025-01-09 03:32:37,Завуч СуперВИП,10,Спасибо за актуальность материалов!,Контент/Материалы,2025,1,promoter
Система Образование,2025-01-09 03:38:06,Образование ВИП,10,"Все изложено просто, подробно и доступно",Другое,2025,1,promoter
Система Госфинансы,2025-01-09 03:42:18,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-09 03:49:52,Образование Плюс,10,"Актуальная информация, практическая значимость материала.",Контент/Материалы,2025,1,promoter
Казахстан Система Кадровое дело,2026-06-15 15:57:24,КЗ Кадровое дело Плюс,10,оказываете хорошую помощь,Поддержка/Эксперты,2026,6,promoter
Система Госфинансы,2025-01-09 04:18:57,Госфинансы ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-09 04:29:45,Образование ВИП,10,Очень удобная система для работы!,Платформа/Удобство,2025,1,promoter
Система Завуч,2025-01-09 04:51:56,Завуч СуперВИП,10,Всё замечательно!,Другое,2025,1,promoter
Система Госфинансы,2025-01-09 05:02:42,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Казахстан Система Госзакупки,2026-06-15 15:19:48,КЗ Госзакупки Плюс,10,отличная программа,Общее удовлетворение,2026,6,promoter
Система Госфинансы,2025-01-09 05:12:14,Госфинансы ,10,"Спасибо, что отвечаете оперативно на поставленные вопросы.",Другое,2025,1,promoter
Казахстан Система Госзакупки,2026-06-15 15:03:05,КЗ Госзакупки ВИП,10,!,Другое,2026,6,promoter
Система Образование,2025-01-09 05:47:33,Образование ВИП,10,.,Другое,2025,1,promoter
Система Образование,2025-01-09 05:49:34,Образование ВИП,8,8,Общее недовольство,2025,1,neutral
Система Госфинансы,2025-01-09 05:53:01,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Юрист,2025-01-09 06:00:13,ЮСС Плюс,9,9,Другое,2025,1,promoter
Система Главбух,2025-01-09 06:00:20,БСС упр,10,"На самом деле я УЖЕ рекомендую. Так как поучавствовав в достаточном количестве онлайн курсов, ресурс Система Главбух самодостаточен. Т.е. здесь есть абсолютно всё. Необходима как профессионалам так и новичкам. Много практической информации, именно практической. Перевод с китайского языка НК на понятный русский)))",Обучение/Развитие,2025,1,promoter
Система Главбух,2025-01-09 06:05:29,БСС ВИП,10,"Быстрый поиск ответов на все вопросы, нравится Онлайн-помощник...",Общее удовлетворение,2025,1,promoter
Система Методист детского сада,2025-01-09 06:07:51,Методист СуперВИП ,10,все хорошо,Общее удовлетворение,2025,1,promoter
Казахстан Система Образование,2026-06-15 14:31:08,КЗ Образование ВИП,10,"маған журнал ұнайды, әрқашан оны керегіме қарай қолданамын,сондықтан ұсынамын",Другое,2026,6,promoter
Система Госзаказ,2025-01-09 06:18:03,Госзаказ ВИП ,9,"Все хорошо, много информации, много полезного.",Общее удовлетворение,2025,1,promoter
Система Главная медсестра,2025-01-09 06:32:23,Главмедсестра Плюс ,10,Очень нужный и эффективный инструмент в работе главной медицинской сестры.,Другое,2025,1,promoter
Система Образование,2025-01-09 06:48:30,Образование ВИП,9,"Оперативно,своевременно, содержательно.",Другое,2025,1,promoter
Система Госфинансы,2025-01-09 06:49:40,Госфинансы Плюс ,10,информация очень ценная и своевременная.,Другое,2025,1,promoter
Система Госзаказ,2025-01-09 06:49:43,Госзаказ мини ,5,5,Общее недовольство,2025,1,detractor
Система Кадры,2025-01-09 06:55:33,КСС БУ,10,Очень удобно. Информативно.,Платформа/Удобство,2025,1,promoter
Система Образование,2025-01-09 07:21:01,Образование Плюс,10,очень удобно,Платформа/Удобство,2025,1,promoter
Система Госфинансы,2025-01-09 07:23:56,Госфинансы Плюс ,10,все доступно и понятно,Другое,2025,1,promoter
